Sample,Stim,Culture,Donor,Fold exp,CAR,CD4,CCR7,CD8,CD25,tEGFR,TIM-3,PD-1,CD137,CD45RA,CD95
d0 PBMC,x,x,HD1,x,x,8214,1730,2648,21.6,2445,131,744,40.5,8714,3684
d0 PBMC,x,x,HD2,x,x,9973,2340,2225,17.5,2122,114,565,48.3,8313,4095
d0 PBMC,x,x,HD3,x,x,8092,1587,1987,87.6,66.5,42.1,466,28.9,8527,1640
d0 PBMC,x,x,HD4,x,x,8086,1305,1329,87.8,65.7,52.7,437,38.2,8492,1609
d0 PBMC,x,x,HD5,x,x,13027,2263,1058,53.5,2722,105,573,67,7472,2953
d0 PBMC,x,x,HD6,x,x,8203,2421,1022,57,47.5,59.6,292,77.8,9366,1048
d0 PBMC,x,x,HD7,x,x,9289,1556,1044,74,63.5,90.4,832,64.4,2399,4224
d0 PBMC,x,x,HD8,x,x,7557,1751,1051,48,72.2,96.7,450,33.9,5148,2263
d0 PBMC,x,x,AC1,x,x,4456,1570,1790,69.3,115,136,492,-22.4,10018,2213
d0 PBMC,x,x,AC2,x,x,3338,355,3655,170,65.4,14.4,591,42.6,4611,2681
d0 PBMC,x,x,AC3,x,x,5515,394,3044,167,69.2,27.6,1037,15.9,6957,4064
d0 PBMC,x,x,AC4,x,x,5903,3016,787,18.4,174,78.7,473,779,6890,1938
d0 PBMC,x,x,AC5,x,x,6075,865,1615,137,840,75.3,819,60.7,11111,3619
d0 PBMC,x,x,AC6,x,x,7859,497,2308,190,3498,52.9,561,12,8716,3545
d0 PBMC,x,x,AC7,x,x,6053,1305,1502,332,2315,40.4,250,50.9,9126,2223
d0 PBMC,x,x,AC8,x,x,7420,1498,2730,175,113,52.7,354,31.3,13195,1145
d0 PBMC,x,x,AC9,x,x,4146,145,5132,114,1977,49.3,627,-2.59,9663,3980
d0 PBMC,x,x,AC10,x,x,3644,1001,3141,85.3,1029,55.2,289,26.1,12137,2207
